name,symbol,quote_USD_volume_24h,quote_USD_price,quote_USD_percent_change_60d,quote_USD_market_cap_dominance,quote_USD_percent_change_90d,quote_USD_market_cap,quote_USD_percent_change_1h,quote_USD_percent_change_30d,quote_USD_volume_change_24h,quote_USD_percent_change_7d,num_market_pairs,cmc_rank,quote_USD_fully_diluted_market_cap,quote_USD_percent_change_24h,total_supply,circulating_supply
Kamala Harris (kamalaharristoken.net),HARRIS,29.62869693,8.79557023839594e-09,-19.14922568,0.0,-70.75986634,0.0,0.0,12.08078206,0.0,8.98074752,2,7580,37002.08,4.30535314,0.0,0.0
MAGA,TRUMP,26.33555748,3.5798859726070146e-05,-18.72354234,0.0,-1.96480909,0.0,0.0,1.36467337,-97.6419,6.46982913,4,7622,35798.0,0.86556629,999975926.0,0.0
Migglei,MIGGLEI,25.32879583,4.462561056836926e-06,-28.35659896,0.0,-94.31036843,0.0,0.0,-12.35071053,0.0,18.702779,1,7636,4462.56,3.67635104,963831798.0,0.0
Neiro Solana (neirosolana.me),NEIRO,20.17226388,2.163124455348855e-06,-94.05737819,0.0,-94.05737819,0.0,0.0,13.42535068,19.8025,21.23171489,1,7712,2163.12,-0.54808414,1000000000.0,0.0
Astronaut Aron,ARON,19.99837031,6.0627953569124505e-06,-52.80596015,0.0,-60.49530045,0.0,0.0,-34.27337002,65.8602,4.91438723,2,7716,6062.8,0.56584273,1000000000.0,0.0
Justin MEME,Sun,15.69694932,5.864530903090817e-06,-93.35709327,0.0,-93.35709327,0.0,0.0,-5.61489214,0.0,4.07089179,2,7792,5864.53,2.89519951,1000000000.0,0.0
HairyPotheadTrempSanic69Inu,SOLANA,12.93829223,1.3370654932403492e-05,-50.71986152,0.0,-35.59252683,0.0,0.0,1.25928489,-34.81,1.95039896,2,7857,13370.27,2.05177666,999971519.65,0.0
GAMESTUMP,GEME,10.85662305,1.4191625713690876e-05,-36.58158287,0.0,-16.06863123,0.0,0.0,-9.40275668,0.0,7.77172407,2,7932,12062.88,4.41790345,850000000.0,0.0
NBA BSC,NBABSC,10.67108156,4.946269381915815e-06,-18.42936848,0.0,-23.44249331,0.0,0.0,-3.32436953,6.2867,3.16874811,1,7934,4941.86,-0.42010416,999108442.0,0.0
Chonk The Cat,CHONK,8.24976864,4.170442088012735e-05,-15.99444263,0.0,-38.2321422,0.0,0.0,-11.53918975,0.0,11.06364254,1,8010,41704.42,2.13171746,1000000000.0,0.0
Lolo,LOLO,3.2092058,3.278342320470262e-05,7.35702985,0.0,7.35702985,0.0,0.0,7.35702985,-75.617,8.85014362,1,8165,32783.24,0.79628505,999994410.0,0.0
CyberTrump,CYBERTRUMP,2.88862256,3.899354058025584e-06,-55.10516735,0.0,-71.3984161,0.0,0.0,-24.65777633,0.0,8.48306463,2,8178,297.68,0.23765875,76340000.0,0.0
Akita Inu,AKT,2.53713777,8.29734142538821e-05,-21.79359115,0.0,-9.29697089,0.0,0.0,5.71621161,-83.3684,8.87674925,3,8196,59796.36,0.39302362,720668884.0,0.0
Gemini Inu,GEMINI,2.12679029,8.50716114438215e-06,-28.24395934,0.0,-12.39716683,0.0,0.0,3.67436711,0.0,7.30057648,2,8218,8507.16,4.21205946,1000000000.0,0.0
Crustieno Renaldo,SIUUU,2.06937189,1.5836737133381843e-05,-24.3572094,0.0,-35.70511158,0.0,0.0,12.84664002,-54.4779,18.84924485,2,8220,15836.74,3.75141499,1000000000.0,0.0
sacré bleu,PIERRE,2.05160884,7.955199634703443e-06,-91.31774727,0.0,-91.31774727,0.0,0.0,-25.58480605,-94.8058,-4.17191191,2,8221,7955.2,2.14914335,1000000000.0,0.0
Borkie,BORKIE,1.69767428,1.1489004049458188e-05,-28.81702989,0.0,-50.2970551,0.0,0.0,3.07333145,0.0,-7.21780444,1,8250,11489.0,1.13420326,1000000000.0,0.0
Lyra,LYRA,1.08656076,2.0265872842460757e-05,-34.32738564,0.0,-40.87186048,0.0,0.0,-15.3707674,-98.8978,-0.70561666,2,8307,20265.87,0.00735597,1000000000.0,0.0
pepewifhat,PWH,1.00944948,4.545915770783608e-05,-33.64028155,0.0,-21.74948396,0.0,0.0,-14.14740273,34.454,-5.35803417,3,8312,19124.21,2.93413818,420690000.0,0.0
Cate Coin,$CATE,0.63199885,7.048261095138132e-05,-95.60546627,0.0,-95.60546627,0.0,0.0,-19.61771681,-94.8441,1.33664989,2,8349,7048.26,2.55870936,100000000.0,0.0
MOTO DOG,TOBI,0.38544164,1.9272081856056738e-05,-37.49097848,0.0,-33.705795,0.0,0.0,6.39745729,-94.9775,2.05543121,4,8375,19272.08,3.00745383,1000000000.0,0.0
DILLWIFIT,DILL,0.00365993,1.002502153270454e-05,-53.65921614,0.0,-89.50263437,0.0,0.0,-10.5648752,-99.9959,0.32835852,2,8460,10023.7,0.14420763,999867801.0,0.0
SOLANA MEME TOKEN,SOL10,0.0,3.167164246939354e-05,-32.19979049,0.0,-51.18954159,0.0,0.0,-4.57146892,-100.0,2.06649535,2,9395,31671.64,0.0,1000000000.0,0.0
doginwotah,WATER,0.0,3.176734600510252e-05,-21.88987409,0.0,2.05860134,0.0,0.0,-4.73106238,-100.0,9.58578233,2,9415,31732.82,0.0,998913264.0,0.0
Safemuun,SAFEMUUN,0.0,1.161565605595194e-05,-52.86008862,0.0,-30.42912214,0.0,0.0,-38.22343738,0.0,-1.6018128,2,9444,10989.48,0.0,946091943.11,0.0
Plerf,PLERF,0.0,3.1637740469686694e-05,-31.82454689,0.0,-8.3135992,0.0,0.0,-19.99911698,0.0,4.62676779,2,9453,0.0,0.0,0.0,0.0
TMRW Coin,TMRW,0.0,9.66388397249491e-06,-30.27239417,0.0,-75.27957073,0.0,0.0,-17.85185381,0.0,8.8641027,4,9484,9663.88,0.0,1000000000.0,0.0
Bitcoin Black Credit Card,BBCC,0.0,5.302385449034724e-05,-84.62337912,0.0,-94.496451,0.0,0.0,-26.2844467,0.0,6.91189419,1,9610,53023.85,0.0,0.0,0.0
PEPE BIRD,PEBIRD,0.0,1.4836027237007267e-06,-66.57074607,0.0,-96.51185012,0.0,0.0,-30.80888585,0.0,-3.85767703,2,9613,1483.6,0.0,1000000000.0,0.0
South Pao,PAO,0.0,5.467106838601959e-08,-79.02688466,0.0,-99.38442534,0.0,0.0,-11.24196828,0.0,-0.64874786,2,9617,22999.57,0.0,0.0,0.0
Cats Are Liquidity,PRRR,0.0,1.1150674740054287e-05,-93.48930992,0.0,-95.88197959,0.0,0.0,-20.67040388,0.0,6.71831912,1,9619,11150.67,0.0,1000000000.0,0.0
Arky Satoshi's Dog,ARKY,0.0,9.72633120412138e-06,-88.55219748,0.0,-88.55219748,0.0,0.0,-7.15862483,-100.0,4.03966433,2,9627,8686.58,0.0,893098833.0,0.0
Brainlet,BLET,0.0,6.570442263790046e-06,-96.91271135,0.0,-96.91271135,0.0,0.0,12.20355447,0.0,-9.12443236,1,9645,6570.44,0.0,1000000000.0,0.0
Labubu,LABUBU,0.0,2.413875593361368e-06,-94.37190367,0.0,-94.37190367,0.0,0.0,-36.02004994,0.0,7.48123511,1,9648,2413.88,0.0,1000000000.0,0.0
